jobName,city,companyName,companyDesc,workTime,studyTime,jobUrl,companyUrl,companyDomain,rongzi
游戏策划,8k-16k,杭州,码虫网络,,经验1-3年,大专,https://www.lagou.com/jobs/2724621.html,https://www.lagou.com/gongsi/108691.html,"电子商务,游戏"
游戏策划（休闲游戏方向）,15k-30k,北京,快看漫画,,经验3-5年,本科,https://www.lagou.com/jobs/3409678.html,https://www.lagou.com/gongsi/46956.html,"移动互联网,文化娱乐"
游戏策划,8k-15k,上海,聪盛网络,,经验1-3年,大专,https://www.lagou.com/jobs/3934937.html,https://www.lagou.com/gongsi/234804.html,"游戏,移动互联网"
游戏策划,10k-20k,深圳,哈士奇通信技术有限公司,,经验1-3年,大专,https://www.lagou.com/jobs/3707411.html,https://www.lagou.com/gongsi/254414.html,"游戏,移动互联网"
游戏策划,10k-15k,珠海,沙盒网络,,经验1-3年,不限,https://www.lagou.com/jobs/1481428.html,https://www.lagou.com/gongsi/105202.html,"移动互联网,游戏"
游戏策划,8k-16k,广州,天拓游戏,,经验1-3年,大专,https://www.lagou.com/jobs/3702349.html,https://www.lagou.com/gongsi/29750.html,游戏
游戏策划,11k-18k,深圳,格林巫德,,经验3-5年,本科,https://www.lagou.com/jobs/3516607.html,https://www.lagou.com/gongsi/86887.html,"移动互联网,游戏"
游戏策划师,8k-16k,深圳,深圳市大象互娱网络科技有限公司,,经验1-3年,本科,https://www.lagou.com/jobs/3270873.html,https://www.lagou.com/gongsi/97901.html,"移动互联网,广告营销"
游戏策划,5k-8k,广州,研游,,经验1-3年,大专,https://www.lagou.com/jobs/2282899.html,https://www.lagou.com/gongsi/94933.html,游戏
游戏策划,3k-6k,成都,九方互动,,经验不限,不限,https://www.lagou.com/jobs/2755015.html,https://www.lagou.com/gongsi/168553.html,游戏
游戏策划,10k-15k,上海,上海宏煦,,经验1-3年,本科,https://www.lagou.com/jobs/3222945.html,https://www.lagou.com/gongsi/212914.html,游戏
游戏策划,15k-25k,北京,玩吧,,经验3-5年,本科,https://www.lagou.com/jobs/3763595.html,https://www.lagou.com/gongsi/95651.html,"移动互联网,社交网络"
游戏策划,10k-15k,北京,火舞游戏,,经验1-3年,大专,https://www.lagou.com/jobs/3313176.html,https://www.lagou.com/gongsi/93376.html,游戏
游戏策划（正式）,4k-6k,大连,腾讯无线大连研发中心,,经验1-3年,不限,https://www.lagou.com/jobs/1841718.html,https://www.lagou.com/gongsi/34332.html,移动互联网
游戏策划,10k-20k,北京,集美网络,,经验不限,本科,https://www.lagou.com/jobs/3866292.html,https://www.lagou.com/gongsi/271734.html,游戏
游戏策划,4k-8k,镇江,江苏易乐,,经验不限,大专,https://www.lagou.com/jobs/3949218.html,https://www.lagou.com/gongsi/86007.html,"移动互联网,游戏"
游戏策划,6k-12k,杭州,茵润网络科技,,经验1-3年,大专,https://www.lagou.com/jobs/3992663.html,https://www.lagou.com/gongsi/148071.html,游戏
游戏策划,10k-15k,上海,英雄互娱,,经验3-5年,本科,https://www.lagou.com/jobs/3861298.html,https://www.lagou.com/gongsi/211050.html,"移动互联网,游戏"
资深游戏策划,20k-29k,深圳,淘乐网络,,经验5-10年,本科,https://www.lagou.com/jobs/3103382.html,https://www.lagou.com/gongsi/20727.html,游戏
游戏策划,8k-15k,北京,小米,,经验3-5年,本科,https://www.lagou.com/jobs/3880700.html,https://www.lagou.com/gongsi/520.html,移动互联网
游戏策划助理【可实习】,3k-6k,济南,济南迅奇,,经验1年以下,大专,https://www.lagou.com/jobs/4010664.html,https://www.lagou.com/gongsi/296359.html,"移动互联网,游戏"
